RepoName,ChannelName,CategoryName,MentionRoles,LastChecked
"opencodeiiita/Fem-care","announcement","Fem-Care","1053758337633759333, 1053758335532421140, 1053758339034652783, 1317766150448484434, 1452321961869836288","2025-12-22T08:08:38.506Z"
"opencodeiiita/Blob","announcement","Blob","1053757889359130664, 1452321955439968257, 1317766150448484434","2025-12-22T08:03:53.556Z"
"opencodeiiita/CareerCraft","announcement","CareerCraft","1053758339034652783, 1452321964998918368, 1317766150448484434","2025-12-22T08:04:34.230Z"
"opencodeiiita/SpaceChat","announcement","SpaceChat","1053758329735893023, 1317766150448484434","2025-12-22T08:16:11.635Z"
"opencodeiiita/SnapMap","announcement","SnapMap","1053758335532421140, 1053758337633759333, 1053758339873525892, 1452321941519204505","2025-12-22T08:52:54.914Z"
"opencodeiiita/Ba-Effe","announcement","Ba-Effe","885838150805647422, 1053757761860677692, 1317766150448484434","2025-12-22T08:47:38.718Z"
"opencodeiiita/CP-Chronicles","announcement","CC-Chronicles","885379593022873660, 1452321953485688883, 1053761052376039524, 1317766150448484434","2025-12-22T09:02:39.575Z"
"opencodeiiita/NomMetric","announcement","Nommetric","1053757889359130664, 1452322002391007273, 1317766150448484434","2025-12-22T09:13:18.775Z"
"opencodeiiita/CodeCraft","announcement","Code-Craft","1452321957486919690, 1053761052376039524, 1317766150448484434","2025-12-22T09:23:58.952Z"
"opencodeiiita/AppCosmos","announcement","AppCosmos","1053757761860677692, 1053758339873525892","2025-12-22T09:34:25.094Z"
